date,state_name,vegetable_name,wholesale_price,retail_price,mall_price,unit,image
2024-05-01,new delhi,Onion Big,41,47 - 52,49 - 68,1kg,resource/images/vegetables/onionbig-64.png
2024-05-01,new delhi,Onion Small,65,75 - 83,78 - 107,1kg,resource/images/vegetables/onionsmall-64.png
2024-05-01,new delhi,Tomato,44,51 - 56,53 - 73,1kg,resource/images/vegetables/tomato-64.png
2024-05-01,new delhi,Green Chilli,63,72 - 80,76 - 104,1kg,resource/images/vegetables/greenchili-64.png
2024-05-01,new delhi,Beetroot,38,44 - 48,46 - 63,1kg,resource/images/vegetables/beetroot-64.png
2024-05-01,new delhi,Potato,36,41 - 46,43 - 59,1kg,resource/images/vegetables/potato-64.png
2024-05-01,new delhi,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,resource/images/vegetables/plantain-64.png
2024-05-01,new delhi,Amaranth Leaves,15,17 - 19,18 - 25,1kg,resource/images/vegetables/amaranthleaves-64.png
2024-05-01,new delhi,Amla,70,81 - 89,84 - 116,1kg,resource/images/vegetables/amla-64.png
2024-05-01,new delhi,Ash gourd,23,26 - 29,28 - 38,1kg,resource/images/vegetables/ashgourd-64.png
2024-05-01,new delhi,Baby Corn,64,74 - 81,77 - 106,1kg,resource/images/vegetables/babycorn-64.png
2024-05-01,new delhi,Banana Flower,20,23 - 25,24 - 33,1kg,resource/images/vegetables/bananaflower-64.png
2024-05-01,new delhi,Capsicum,43,49 - 55,52 - 71,1kg,resource/images/vegetables/capsicum-64.png
2024-05-01,new delhi,Bitter Gourd,31,36 - 39,37 - 51,1kg,resource/images/vegetables/bittergourd-64.png
2024-05-01,new delhi,Bottle Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/bottlegourd-64.png
2024-05-01,new delhi,Butter Beans,51,59 - 65,61 - 84,1kg,resource/images/vegetables/butterbeans-64.png
2024-05-01,new delhi,Broad Beans,65,75 - 83,78 - 107,1kg,resource/images/vegetables/broadbeans-64.png
2024-05-01,new delhi,Cabbage,31,36 - 39,37 - 51,1kg,resource/images/vegetables/cabbage-64.png
2024-05-01,new delhi,Carrot,49,56 - 62,59 - 81,1kg,resource/images/vegetables/carrot-64.png
2024-05-01,new delhi,Cauliflower,25,29 - 32,30 - 41,1kg,resource/images/vegetables/cauliflower-64.png
2024-05-01,new delhi,Cluster beans,43,49 - 55,52 - 71,1kg,resource/images/vegetables/clusterbeans-64.png
2024-05-01,new delhi,Coconut,36,41 - 46,43 - 59,1kg,resource/images/vegetables/coconut-64.png
2024-05-01,new delhi,Colocasia Leaves,16,18 - 20,19 - 26,1kg,resource/images/vegetables/colocasialeaves-64.png
2024-05-01,new delhi,Colocasia,29,33 - 37,35 - 48,1kg,resource/images/vegetables/colocasia-64.png
2024-05-01,new delhi,Coriander Leaves,9,10 - 11,11 - 15,1kg,resource/images/vegetables/corianderleaves-64.png
2024-05-01,new delhi,Corn,35,40 - 44,42 - 58,1kg,resource/images/vegetables/corn-64.png
2024-05-01,new delhi,Cucumber,28,32 - 36,34 - 46,1kg,resource/images/vegetables/cucumber-64.png
2024-05-01,new delhi,Curry Leaves,26,30 - 33,31 - 43,1kg,resource/images/vegetables/curryleaves-64.png
2024-05-01,new delhi,Dill Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/dillleaves-64.png
2024-05-01,new delhi,Drumsticks,110,127 - 140,132 - 182,1kg,resource/images/vegetables/drumsticks-64.png
2024-05-01,new delhi,Brinjal,38,44 - 48,46 - 63,1kg,resource/images/vegetables/brinjal-64.png
2024-05-01,new delhi,Brinjal (Big),34,39 - 43,41 - 56,1kg,resource/images/vegetables/brinjalbig-64.png
2024-05-01,new delhi,Elephant Yam,36,41 - 46,43 - 59,1kg,resource/images/vegetables/elephantyam-64.png
2024-05-01,new delhi,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/fenugreekleaves-64.png
2024-05-01,new delhi,French Beans,121,139 - 154,145 - 200,1kg,resource/images/vegetables/frenchbeans-64.png
2024-05-01,new delhi,Garlic,236,271 - 300,283 - 389,1kg,resource/images/vegetables/garlic-64.png
2024-05-01,new delhi,Ginger,123,141 - 156,148 - 203,1kg,resource/images/vegetables/ginger-64.png
2024-05-01,new delhi,Onion Green,42,48 - 53,50 - 69,1kg,resource/images/vegetables/oniongreen-64.png
2024-05-01,new delhi,Green Peas,47,54 - 60,56 - 78,1kg,resource/images/vegetables/greenpeas-64.png
